Date,Track,Race Number,Distance,Surface,#1 Wager Type,#1 Wager Unit,#1 Number Right,#1 Wager Payout,#1 Winning Pgm Numbers,#1 Total Pool
03/22/2026,FG,6,5.50,Turf,Pick 3,.50,3,122.90,3-8-1,18422.00
03/22/2026,FG,6,5.50,Turf,Pick 3,.50,3,122.90,3-8-1,18422.00
03/22/2026,FG,6,5.50,Turf,Pick 3,.50,3,122.90,3-8-1,18422.00
03/22/2026,FG,6,5.50,Turf,Pick 3,.50,3,122.90,3-8-1,18422.00
03/22/2026,FG,6,5.50,Turf,Pick 3,.50,3,122.90,3-8-1,18422.00
03/22/2026,FG,6,5.50,Turf,Pick 3,.50,3,122.90,3-8-1,18422.00
03/22/2026,FG,6,5.50,Turf,Pick 3,.50,3,122.90,3-8-1,18422.00
03/22/2026,FG,6,5.50,Turf,Pick 3,.50,3,122.90,3-8-1,18422.00
03/22/2026,FG,6,5.50,Turf,Pick 3,.50,3,122.90,3-8-1,18422.00
03/22/2026,FG,7,8.50,Dirt,Pick 3,.50,3,43.75,8-1-5,16732.00
03/22/2026,FG,7,8.50,Dirt,Pick 3,.50,3,43.75,8-1-5,16732.00
03/22/2026,FG,7,8.50,Dirt,Pick 3,.50,3,43.75,8-1-5,16732.00
03/22/2026,FG,7,8.50,Dirt,Pick 3,.50,3,43.75,8-1-5,16732.00
03/22/2026,FG,7,8.50,Dirt,Pick 3,.50,3,43.75,8-1-5,16732.00
03/22/2026,FG,7,8.50,Dirt,Pick 3,.50,3,43.75,8-1-5,16732.00
03/22/2026,FG,8,8.32,Dirt,Pick 3,.50,3,8.60,1-5-1,10080.00
03/22/2026,FG,8,8.32,Dirt,Pick 3,.50,3,8.60,1-5-1,10080.00
03/22/2026,FG,8,8.32,Dirt,Pick 3,.50,3,8.60,1-5-1,10080.00
03/22/2026,FG,8,8.32,Dirt,Pick 3,.50,3,8.60,1-5-1,10080.00
03/22/2026,FG,8,8.32,Dirt,Pick 3,.50,3,8.60,1-5-1,10080.00
03/22/2026,FG,9,5.50,Turf,Pick 3,.50,3,14.80,5-1-6,20266.00
03/22/2026,FG,9,5.50,Turf,Pick 3,.50,3,14.80,5-1-6,20266.00
03/22/2026,FG,9,5.50,Turf,Pick 3,.50,3,14.80,5-1-6,20266.00
03/22/2026,FG,9,5.50,Turf,Pick 3,.50,3,14.80,5-1-6,20266.00
03/22/2026,FG,9,5.50,Turf,Pick 3,.50,3,14.80,5-1-6,20266.00
03/22/2026,FG,9,5.50,Turf,Pick 3,.50,3,14.80,5-1-6,20266.00
03/22/2026,FG,9,5.50,Turf,Pick 3,.50,3,14.80,5-1-6,20266.00
03/22/2026,FG,9,5.50,Turf,Pick 3,.50,3,14.80,5-1-6,20266.00
03/22/2026,FG,9,5.50,Turf,Pick 3,.50,3,14.80,5-1-6,20266.00
03/22/2026,FG,9,5.50,Turf,Pick 3,.50,3,14.80,5-1-6,20266.00
03/22/2026,FG,9,5.50,Turf,Pick 3,.50,3,14.80,5-1-6,20266.00
03/22/2026,FG,9,5.50,Turf,Pick 3,.50,3,14.80,5-1-6,20266.00
03/22/2026,FG,9,5.50,Turf,Pick 3,.50,3,14.80,5-1-6,20266.00
03/22/2026,FG,9,5.50,Turf,Pick 3,.50,3,14.80,5-1-6,20266.00
03/22/2026,FG,10,6.00,Dirt,Pick 3,.50,3,53.70,1-6-3,21979.00
03/22/2026,FG,10,6.00,Dirt,Pick 3,.50,3,53.70,1-6-3,21979.00
03/22/2026,FG,10,6.00,Dirt,Pick 3,.50,3,53.70,1-6-3,21979.00
03/22/2026,FG,10,6.00,Dirt,Pick 3,.50,3,53.70,1-6-3,21979.00
03/22/2026,FG,10,6.00,Dirt,Pick 3,.50,3,53.70,1-6-3,21979.00
03/22/2026,FG,10,6.00,Dirt,Pick 3,.50,3,53.70,1-6-3,21979.00
03/22/2026,FG,10,6.00,Dirt,Pick 3,.50,3,53.70,1-6-3,21979.00
03/22/2026,FG,10,6.00,Dirt,Pick 3,.50,3,53.70,1-6-3,21979.00
03/22/2026,FG,10,6.00,Dirt,Pick 3,.50,3,53.70,1-6-3,21979.00
03/22/2026,FG,10,6.00,Dirt,Pick 3,.50,3,53.70,1-6-3,21979.00
03/22/2026,FG,11,5.50,Turf,Pick 3,.50,3,225.85,6-3-1,19885.00
03/22/2026,FG,11,5.50,Turf,Pick 3,.50,3,225.85,6-3-1,19885.00
03/22/2026,FG,11,5.50,Turf,Pick 3,.50,3,225.85,6-3-1,19885.00
03/22/2026,FG,11,5.50,Turf,Pick 3,.50,3,225.85,6-3-1,19885.00
03/22/2026,FG,11,5.50,Turf,Pick 3,.50,3,225.85,6-3-1,19885.00
03/22/2026,FG,11,5.50,Turf,Pick 3,.50,3,225.85,6-3-1,19885.00
03/22/2026,FG,11,5.50,Turf,Pick 3,.50,3,225.85,6-3-1,19885.00
03/22/2026,FG,11,5.50,Turf,Pick 3,.50,3,225.85,6-3-1,19885.00
03/22/2026,FG,12,8.50,Dirt,Pick 3,.50,3,176.90,3-1-4,21474.00
03/22/2026,FG,12,8.50,Dirt,Pick 3,.50,3,176.90,3-1-4,21474.00
03/22/2026,FG,12,8.50,Dirt,Pick 3,.50,3,176.90,3-1-4,21474.00
03/22/2026,FG,12,8.50,Dirt,Pick 3,.50,3,176.90,3-1-4,21474.00
03/22/2026,FG,12,8.50,Dirt,Pick 3,.50,3,176.90,3-1-4,21474.00
03/22/2026,FG,12,8.50,Dirt,Pick 3,.50,3,176.90,3-1-4,21474.00
03/22/2026,FG,12,8.50,Dirt,Pick 3,.50,3,176.90,3-1-4,21474.00
03/22/2026,FG,12,8.50,Dirt,Pick 3,.50,3,176.90,3-1-4,21474.00
03/22/2026,FG,12,8.50,Dirt,Pick 3,.50,3,176.90,3-1-4,21474.00
03/22/2026,FG,13,9.00,Turf,Pick 3,.50,3,303.80,1-4-5,61785.00
03/22/2026,FG,13,9.00,Turf,Pick 3,.50,3,303.80,1-4-5,61785.00
03/22/2026,FG,13,9.00,Turf,Pick 3,.50,3,303.80,1-4-5,61785.00
03/22/2026,FG,13,9.00,Turf,Pick 3,.50,3,303.80,1-4-5,61785.00
03/22/2026,FG,13,9.00,Turf,Pick 3,.50,3,303.80,1-4-5,61785.00
03/22/2026,FG,13,9.00,Turf,Pick 3,.50,3,303.80,1-4-5,61785.00
03/22/2026,FG,13,9.00,Turf,Pick 3,.50,3,303.80,1-4-5,61785.00
03/22/2026,FG,13,9.00,Turf,Pick 3,.50,3,303.80,1-4-5,61785.00
03/22/2026,FG,13,9.00,Turf,Pick 3,.50,3,303.80,1-4-5,61785.00
03/22/2026,FG,13,9.00,Turf,Pick 3,.50,3,303.80,1-4-5,61785.00
