field,name,type,maxLength,comments,hasOptions
32,Race F5 Time,Decimal,,In Seconds; Format: sss.ttt; Example: 115.430; See Note 1 for F5 Distances,
33,Race Winning Time,Decimal,,In Seconds; Format: sss.ttt; Example: 72.430,
34,WPS Combined Pool,Integer,,"Combined Win, Place and Show Pool",
35,Run Up Distance,Integer,,In Feet; Distance from Starting Gate to Starting Timer; Blank = Unknown or Unavailable,
36,Downhill Turf Indicator,Text,1,Y = Race was run on Santa Anita Downhill Turf Course; Otherwise Blank,
37,Number of turns in race,Integer,,Rounded to nearest integer; 0 is valid; Blank = unavailable; 1 turn = approx 180 degrees; 1/2 turn = approx 90 degrees; 1.5 rounded to 2; 1.25 rounded to 1,
38,Number of turns in race (decimal),Decimal,,Decimal version; 0 is valid; Blank = unavailable; Fractions from chute starts; Work in progress field,
39,Field 39,,,,
40,Field 40,,,,
41,Field 41,,,,
42,Field 42,,,,
43,Field 43,,,,
44,Field 44,,,,
45,Field 45,,,,
46,Field 46,,,,
47,Field 47,,,,
48,Field 48,,,,
49,Field 49,,,,
50,Field 50,,,,
51,Horse Name,Text,30,,
52,Horse Age,Integer,,,
53,Horse Sex,Text,1,F = Filly; M = Mare; C = Colt; H = Horse; G = Gelding; R = Ridgling,
54,Medication,Text,3,L = Lasix; B = Bute; A = Adjunct Bleeder Medication,
55,Equipment,Text,5,Blank = No equipment; 2 = Screens; 3 = Shields; A = Aluminum Pads; B = Blinkers; C = Mud Calks; F = Front Wraps; G = Goggles; H = Hood; I = Cornell Collar; J = Cornell Collar Off; K = Flipping halter; L = Bar Shoes; N = No whip; O = Blinkers off; P = Aluminum Pad; Q = Nasal Strip off; R = Bar Shoe; S = Nasal Strip; V = Cheek Piece; W = No Hind Shoes; X = Cheek Piece Off; Y = No shoes; Z = Tongue Tie,Y
56,Weight Carried,Integer,,,
57,Claiming Price,Integer,,Claiming Price horse was entered for,
58,Earnings,Integer,,Money earned by horse in this race,
59,Program Number,Text,3,,
60,Coupled Type,Text,1,Horses marked 'a' are coupled; 'b' are coupled; Blank if uncoupled,
61,Morning Line Odds,Decimal,,,
62,Final Tote Odds,Decimal,,,
63,Favorite Indicator,Text,1,Y = Final Tote Favorite; Otherwise Blank,
64,Non-Betting Indicator,Text,1,Y = No Betting on this horse; Otherwise Blank,
65,Win Mutuel Paid,Decimal,,In US Dollars; Coupled horses share mutuel,
66,Place Mutuel Paid,Decimal,,In US Dollars; Coupled horses share mutuel,
67,Show Mutuel Paid,Decimal,,In US Dollars; Coupled horses share mutuel,
68,Post Position,Integer,,,
69,Position at Start Call,Integer,,See Note 2,
70,Position at Call 1,Integer,,See Note 2; Horses who did not finish are placed last,
71,Position at Call 2,Integer,,See Note 2; Horses who did not finish are placed last,
72,Position at Call 3,Integer,,See Note 2; Horses who did not finish are placed last,
73,Position at Call 4,Integer,,See Note 2; Horses who did not finish are placed last,
74,Position at Call 5,Integer,,See Note 2; Horses who did not finish are placed last,
75,Position at Finish,Integer,,See Note 2; Horses who did not finish are placed last,
76,Official Finish Position,Integer,,See Note 2; Horses who did not finish are placed last,
77,Call 1 Lengths Behind,Decimal,,See Note 2; 99.99 = Did Not Finish,
78,Call 2 Lengths Behind,Decimal,,See Note 2; 99.99 = Did Not Finish,
79,Call 3 Lengths Behind,Decimal,,See Note 2; 99.99 = Did Not Finish,
80,Call 4 Lengths Behind,Decimal,,See Note 2; 99.99 = Did Not Finish,
81,Stretch Call Lengths Behind,Decimal,,See Note 2; 99.99 = Did Not Finish,
82,Finish Lengths Behind,Decimal,,See Note 2; 99.99 = Did Not Finish,
83,Comment Line,Text,22,,
84,Trainer First Name,Text,15,,
85,Trainer Middle Name,Text,15,,
86,Trainer Last Name,Text,80,,
87,Jockey First Name,Text,15,,
88,Jockey Middle Name,Text,15,,
89,Jockey Last Name,Text,80,,
90,Apprentice Wgt Allowance,Integer,,5 lbs = Apprentice Type 1; 7 lbs = Apprentice Type 2; 10 lbs = Apprentice Type 3; Otherwise Blank,Y
91,Owner Full Name,Text,120,,
92,Claimed Indicator,Text,1,Y = Horse was claimed; Otherwise Blank,
93,Claiming Trainer First Name,Text,15,,
94,Claiming Trainer Middle Name,Text,15,,
95,Claiming Trainer Last Name,Text,80,,
96,Claiming Owner Full Name,Text,120,,
97,Scratch Indicator,Text,1,Y = Scratched; Otherwise Blank,
98,Reason for Scratch,Text,1,A = Also Eligible; E = Early; G = Gate; I = RegVet - Injured; J = PrivVet - Injured; K = Stakes Scratch; L = RegVet - Illness; M = Main Track Only; N = PrivVet - Unsound; O = Off Turf; P = Reason Unavailable; R = Re-entered; S = Stewards; T = Trainer; U = RegVet - Unsound; V = Veterinarian; Y = Part of Entry; Z = PrivVet - Illness; Blank = Unknown,Y
99,Last Race Track,Text,3,2 or 3 character Equibase Track Code,
100,Last Race Date,Text,10,Format: mm/dd/yyyy; Example: 04/17/2005,
101,Last Race Race Number,Integer,,,
102,Last Race Finish Position,Integer,,Original Finish Position,
103,Long Comment Line,Text,65,,
104,Sire,Text,30,,
105,Dam,Text,30,,
106,DamSire,Text,30,,
107,Foaling Date,Text,10,Format: mm/dd/yyyy; Example: 04/17/2005,
108,Foaling Area,Text,3,State/province for USA/Canada; Country otherwise,
109,Horse Weight,Integer,,Weight of horse; 1 = difficulties weighing,
110,Number of Claims Submitted,Integer,,Number of claims submitted,
111,Void Indicator,Text,1,Y = Claim was voided; Otherwise Blank,
112,Void Reason,Text,1,A = Administrative; D = Deceased; O = Other; P = Positive Test; V = Vet; Otherwise Blank,Y
113,Breeder,Text,120,,
114,Color,Text,5,Color of Horse,
115,Jockey ID,Integer,,Equibase assigned Jockey ID,
116,Trainer ID,Integer,,Equibase assigned Trainer ID,
117,Field 117,,,,
118,Field 118,,,,
119,Field 119,,,,
120,Field 120,,,,
121,Field 121,,,,
122,Field 122,,,,
123,Field 123,,,,
124,Field 124,,,,
125,Field 125,,,,
126,Field 126,,,,
127,Field 127,,,,
128,Field 128,,,,
129,Field 129,,,,
130,Field 130,,,,
131,#1 Wager Type,Text,2,$ = Super Bet; 0 = Choose 6; 1 = Roulette; 13 = 123racing; 18 = Pick 18; 2 = Two in the Money; 3 = Pick 3; 4 = Pick 4; 4J = Pick 4 Jackpot; 5 = Pick 5; 5J = Pick 5 Jackpot; 6 = Pick 6; 6J = Pick 6 Jackpot; 7 = Pick 7; 7J = Pick 7 Jackpot; 8 = Countdown; 9 = Pick 9; 9J = Pick 9 Jackpot; A = Triactor; B = Super Tri; BQ = Bracket Quinella; C = Classix; D = Daily Double; E = Exacta; F = Perfecta; G = Perfector; H = Head2Head; HE = Halfway Exacta; HW = Halfway Win; I = Pick 10; ID = Instant Daily Double; J = Exactor; K = Win 4; L = Place Pick All; L8 = Place Pick 8; M = Consolation Pick 3; N = Future Wager; O = Omni; OU = Over/Under; P = Jockey Challenge; P5 = Place Pick 5; P6 = Place Pick 6; P8 = Pick 8; P9 = Place Pick 9; Q = Quinella; R = Triple; S = Superfecta; S5 = Super High Five; SQ = Show Quinella; T = Trifecta; U = Tri Super; V = Odd or Even; W = Twin Trifecta; X = Grand Slam; X5 = X-5 Super Hi-5; Y = Straight Flush; Z = Consolation Double; Z5 = Z-5 Super Hi-5,Y
132,#1 Wager Unit,Decimal,,Unit Bet for specified Payout,
133,#1 Number Right,Integer,,Number right in multi-part bets,
134,#1 Wager Payout,Decimal,,Payout in US Dollars,
135,#1 Winning Pgm Numbers,Text,35,Winning Program Numbers,
136,#1 Total Pool,Decimal,,Total Pool for this Wager Type,
137,#2 Wager Type,Text,2,,
138,#2 Wager Unit,Decimal,,,
139,#2 Number Right,Integer,,,
140,#2 Wager Payout,Decimal,,,
141,#2 Winning Pgm Numbers,Text,35,,
142,#2 Total Pool,Decimal,,,
143,#3 Wager Type,Text,2,,
144,#3 Wager Unit,Decimal,,,
145,#3 Number Right,Integer,,,
146,#3 Wager Payout,Decimal,,,
147,#3 Winning Pgm Numbers,Text,35,,
148,#3 Total Pool,Decimal,,,
149,#4 Wager Type,Text,2,,
150,#4 Wager Unit,Decimal,,,
151,#4 Number Right,Integer,,,
152,#4 Wager Payout,Decimal,,,
153,#4 Winning Pgm Numbers,Text,35,,
154,#4 Total Pool,Decimal,,,
155,#5 Wager Type,Text,2,,
156,#5 Wager Unit,Decimal,,,
157,#5 Number Right,Integer,,,
158,#5 Wager Payout,Decimal,,,
159,#5 Winning Pgm Numbers,Text,35,,
160,#5 Total Pool,Decimal,,,
161,#6 Wager Type,Text,2,,
162,#6 Wager Unit,Decimal,,,
163,#6 Number Right,Integer,,,
164,#6 Wager Payout,Decimal,,,
165,#6 Winning Pgm Numbers,Text,35,,
166,#6 Total Pool,Decimal,,,
167,#7 Wager Type,Text,2,,
168,#7 Wager Unit,Decimal,,,
169,#7 Number Right,Integer,,,
170,#7 Wager Payout,Decimal,,,
171,#7 Winning Pgm Numbers,Text,35,,
172,#7 Total Pool,Decimal,,,
173,#8 Wager Type,Text,2,,
174,#8 Wager Unit,Decimal,,,
175,#8 Number Right,Integer,,,
176,#8 Wager Payout,Decimal,,,
177,#8 Winning Pgm Numbers,Text,35,,
178,#8 Total Pool,Decimal,,,
179,#9 Wager Type,Text,2,,
180,#9 Wager Unit,Decimal,,,
181,#9 Number Right,Integer,,,
182,#9 Wager Payout,Decimal,,,
183,#9 Winning Pgm Numbers,Text,35,,
184,#9 Total Pool,Decimal,,,
185,#10 Wager Type,Text,2,,
186,#10 Wager Unit,Decimal,,,
187,#10 Number Right,Integer,,,
188,#10 Wager Payout,Decimal,,,
189,#10 Winning Pgm Numbers,Text,35,,
190,#10 Total Pool,Decimal,,,
191,#11 Wager Type,Text,2,,
192,#11 Wager Unit,Decimal,,,
193,#11 Number Right,Integer,,,
194,#11 Wager Payout,Decimal,,,
195,#11 Winning Pgm Numbers,Text,35,,
196,#11 Total Pool,Decimal,,,
197,#12 Wager Type,Text,2,,
198,#12 Wager Unit,Decimal,,,
199,#12 Number Right,Integer,,,
200,#12 Wager Payout,Decimal,,,
201,#12 Winning Pgm Numbers,Text,35,,
202,#12 Total Pool,Decimal,,,
203,#13 Wager Type,Text,2,,
204,#13 Wager Unit,Decimal,,,
205,#13 Number Right,Integer,,,
206,#13 Wager Payout,Decimal,,,
207,#13 Winning Pgm Numbers,Text,35,,
208,#13 Total Pool,Decimal,,,
209,#14 Wager Type,Text,2,,
210,#14 Wager Unit,Decimal,,,
211,#14 Number Right,Integer,,,
212,#14 Wager Payout,Decimal,,,
213,#14 Winning Pgm Numbers,Text,35,,
214,#14 Total Pool,Decimal,,,
215,#15 Wager Type,Text,2,,
216,#15 Wager Unit,Decimal,,,
217,#15 Number Right,Integer,,,
218,#15 Wager Payout,Decimal,,,
219,#15 Winning Pgm Numbers,Text,35,,
220,#15 Total Pool,Decimal,,,
221,#16 Wager Type,Text,2,,
222,#16 Wager Unit,Decimal,,,
223,#16 Number Right,Integer,,,
224,#16 Wager Payout,Decimal,,,
225,#16 Winning Pgm Numbers,Text,35,,
226,#16 Total Pool,Decimal,,,
227,#17 Wager Type,Text,2,,
228,#17 Wager Unit,Decimal,,,
229,#17 Number Right,Integer,,,
230,#17 Wager Payout,Decimal,,,
231,#17 Winning Pgm Numbers,Text,35,,
232,#17 Total Pool,Decimal,,,
233,#18 Wager Type,Text,2,,
234,#18 Wager Unit,Decimal,,,
235,#18 Number Right,Integer,,,
236,#18 Wager Payout,Decimal,,,
237,#18 Winning Pgm Numbers,Text,35,,
238,#18 Total Pool,Decimal,,,
239,#19 Wager Type,Text,2,,
240,#19 Wager Unit,Decimal,,,
241,#19 Number Right,Integer,,,
242,#19 Wager Payout,Decimal,,,
243,#19 Winning Pgm Numbers,Text,35,,
244,#19 Total Pool,Decimal,,,
